検索キー,医療機関名,正規化住所,郵便番号,電話番号,オンライン予約用ページアドレス,相談センター等からの紹介,自院患者,濃厚接触者,小児,妊婦,区市町村,行政コード,大字,それ以降の住所,ビル名・階数・部屋番号,PCR,抗原定量,抗原定性,鼻咽頭,鼻腔,唾液,その他,月（午前）,月（午後）,火（午前）,火（午後）,水（午前）,水（午後）,木（午前）,木（午後）,金（午前）,金（午後）,土（午前）,土（午後）,日（午前）,日（午後）,対応できる外国語,診療検査日時が祝日の場合,それ以降の住所
三浦医院千鳥2ー14ー3,三浦医院,東京都大田区千鳥2ー14ー3,146-0083,03-3750-6969,,,1,,,,大田区,13111,千鳥,2ー14ー3,,,,,,,,,,12:00~14:00,,12:00~14:00,,,,12:00~14:00,,12:00~14:00,,,,,英語,,千鳥2ー14ー3
医療法人社団柴沼会 五十畑クリニック経堂1-11-4 五十畑ビル1F,医療法人社団柴沼会 五十畑クリニック,東京都世田谷区経堂1-11-4 ,156-0052,03-3429-0238,,,1,,,,世田谷区,13112,経堂,1-11-4 ,五十畑ビル1F,,,,,,,,9:00~12:00,16:00~19:00,9:00~12:00,16:00~19:00,9:00~12:00,16:00~19:00,9:00~12:00,16:00~19:00,9:00~12:00,16:00~19:00,9:00~12:00,,,,,,経堂1-11-4 五十畑ビル1F
医療法人社団清啓会林内科外科医院野沢3-23-1,医療法人社団清啓会林内科外科医院,東京都世田谷区野沢3-23-1,154-0003,03-3421-2136,,,1,,,,世田谷区,13112,野沢,3-23-1,,,,,,,,,10:00~12:00,16:00~18:00,10:00~12:00,16:00~18:00,10:00~12:00,,10:00~12:00,16:00~18:00,10:00~12:00,16:00~18:00,,,,,,,野沢3-23-1
竹川内科医院宮坂1ｰ41ｰ20,竹川内科医院,東京都世田谷区宮坂1ｰ41ｰ20,156-0051,03-3706-2341,,,1,,,,世田谷区,13112,宮坂,1ｰ41ｰ20,,,,,,,,,,13:00~15:00,,,,13:00~15:00,,13:00~15:00,,13:00~15:00,,13:00~15:00,,,,,宮坂1ｰ41ｰ20
医療法人財団青葉会 青葉病院太子堂２－１５－２,医療法人財団青葉会 青葉病院,東京都世田谷区太子堂２－１５－２,154-0004,03-3419-7111,,,1,1,,,世田谷区,13112,太子堂,２－１５－２,,1,,1,1,1,1,1,,13:00~17:00,,13:00~17:00,,13:00~17:00,,13:00~17:00,,13:00~17:00,,,,,,,太子堂２－１５－２
篠原クリニック笹塚3-58-18,篠原クリニック,東京都渋谷区笹塚3-58-18,151-0073,03-3377-6633,,,1,,,,渋谷区,13113,笹塚,3-58-18,,,,,,,,,12:00~13:00,18:00~19:00,12:00~13:00,18:00~19:00,12:00~13:00,,,,12:00~13:00,18:00~19:00,12:00~13:00,,,,英語,,笹塚3-58-18
医療法人社団千修会日健クリニック道玄坂2-10-7 新大宗ビル5号館5階559号室,医療法人社団千修会日健クリニック,東京都渋谷区道玄坂2-10-7 ,150-0043,03-3476-0488,,,1,,,,渋谷区,13113,道玄坂,2-10-7 ,新大宗ビル5号館5階559号室,1,,,,,1,,,15:00~17:00,,15:00~17:00,,,,15:00~17:00,,15:00~17:00,,,,,英語,,道玄坂2-10-7 新大宗ビル5号館5階559号室
医療法人 社団 松吉医院笹塚１－５７－５－２F,医療法人 社団 松吉医院,東京都渋谷区笹塚１－５７－５－２F,151-0073,03-3377-3718,,,1,,,,渋谷区,13113,笹塚,１－５７－５－２F,,,,,,,,,9:00~13:00,16:00~18:00,9:00~13:00,16:00~18:00,9:00~13:00,16:00~18:00,,,9:00~13:00,16:00~18:00,9:00~13:00,,,,不可,,笹塚１－５７－５－２F
渋谷済生クリニック東2-23-3 タゴシンビル1階,渋谷済生クリニック,東京都渋谷区東2-23-3 ,150-0011,03-3409-1041,,,1,,,,渋谷区,13113,東,2-23-3 ,タゴシンビル1階,,,,,,,,9:00~11:00,18:00~20:00,9:00~11:00,14:00~16:00,9:00~11:00,14:00~16:00,9:00~11:00,,9:00~11:00,16:00~19:00,9:00~11:00,14:00~16:00,,,ポケトーク対応言語,,東2-23-3 タゴシンビル1階
ふくだ代々木上原クリニック西原3-20-7-2階,ふくだ代々木上原クリニック,東京都渋谷区西原3-20-7-2階,151-0066,03-6407-0758,,,1,,,,渋谷区,13113,西原,3-20-7-2階,,,,,,,,,,17:00~18:00,,,,17:00~18:00,,17:00~18:00,,17:00~18:00,,14:00~15:00,,,,,西原3-20-7-2階
中村医院野方6-1-2,中村医院,東京都中野区野方6-1-2,165-0027,03-3336-1859,,,1,,,,中野区,13114,野方,6-1-2,,,,,,,,,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,,,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,,,,,,,野方6-1-2
高崎医院野方5-4-13,高崎医院,東京都中野区野方5-4-13,165-0027,03-3338-3037,,,1,,,,中野区,13114,野方,5-4-13,,,,,,,,,8:00~12:00,14:00~17:00,8:00~12:00,14:00~17:00,8:00~12:00,14:00~17:00,,,8:00~12:00,14:00~17:00,8:00~12:00,,,,英語,,野方5-4-13
宮医院上高田3-1-13,宮医院,東京都中野区上高田3-1-13,164-0002,03-3385-3177,,1,1,,,,中野区,13114,上高田,3-1-13,,,,,,,,,12:00~13:00,18:00~19:00,12:00~13:00,18:00~19:00,12:00~13:00,18:00~19:00,12:00~13:00,18:00~19:00,,,12:00~13:00,,,,,,上高田3-1-13
長谷川医院野方5-28-6,長谷川医院,東京都中野区野方5-28-6,165-0027,03-3338-2050,,,1,,,,中野区,13114,野方,5-28-6,,,,,,,,,12:00~14:00,,12:00~14:00,,12:00~14:00,,,,12:00~14:00,,13:00~15:00,,,,,,野方5-28-6
社会医療法人社団健友会 川島診療所弥生町3-27-11,社会医療法人社団健友会 川島診療所,東京都中野区弥生町3-27-11,164-0013,03-3372-4438,,1,1,,,,中野区,13114,弥生町,3-27-11,,,,,,,,,9:00~11:00,14:00~16:00,9:00~11:00,14:00~16:00,9:00~11:00,,9:00~11:00,14:00~16:00,9:00~11:00,14:00~16:00,9:00~11:00,,,,,,弥生町3-27-11
渋谷医院上高田2-38-2,渋谷医院,東京都中野区上高田2-38-2,164-0002,03-3386-1571,,,1,,,,中野区,13114,上高田,2-38-2,,,,,,,,,12:00~13:00,,12:00~13:00,,12:00~13:00,,12:00~13:00,,12:00~13:00,,,,,,,,上高田2-38-2
やまもと消化器内科クリニック本町3-31-7 プレジールS 1階,やまもと消化器内科クリニック,東京都中野区本町3-31-7 ,164-0012,03-5304-1195,,,1,,,,中野区,13114,本町,3-31-7 ,プレジールS 1階,,,,,,,,13:00~14:00,14:00~15:00,13:00~14:00,14:00~15:00,13:00~14:00,14:00~15:00,,,13:00~14:00,14:00~15:00,,,,,,,本町3-31-7 プレジールS 1階
おおたにクリニック成田西1-12-15,おおたにクリニック,東京都杉並区成田西1-12-15,166-0016,03-3316-8577,,,1,,,,杉並区,13115,成田西,1-12-15,,,,,,,,,11:00~12:00,17:00~19:00,11:00~12:00,17:00~18:00,11:00~12:00,,11:00~12:00,17:00~18:00,11:00~12:00,17:00~18:00,11:00~12:00,,,,英語,,成田西1-12-15
けやき内科クリニック阿佐谷南1-33-16,けやき内科クリニック,東京都杉並区阿佐谷南1-33-16,166-0004,03-3311-0437,,1,1,,,,杉並区,13115,阿佐谷南,1-33-16,,,,,,,,,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,,,9:00~12:00,15:00~18:00,9:00~12:00,,,,,,阿佐谷南1-33-16
医療法人社団きさらぎ会えいふく内科クリニック和泉3-33-21,医療法人社団きさらぎ会えいふく内科クリニック,東京都杉並区和泉3-33-21,168-0063,03-3324-8333,,1,1,,,,杉並区,13115,和泉,3-33-21,,,,,,,,,12:00~13:00,,12:00~13:00,,,,12:00~13:00,,12:00~13:00,,12:00~13:00,,,,英語、フランス語、、ドイツ語,,和泉3-33-21
井上医院阿佐谷北5-47-17,井上医院,東京都杉並区阿佐谷北5-47-17,166-0001,03-3339-1132,,,1,,,,杉並区,13115,阿佐谷北,5-47-17,,,,,,,,,,12:00~18:00,,12:00~18:00,,12:00~18:00,,,,12:00~18:00,9:00~12:00,,,,,,阿佐谷北5-47-17
医療法人社団瑞雲会 高田馬場病院高田3-8-9,医療法人社団瑞雲会 高田馬場病院,東京都豊島区高田3-8-9,171-0001,03-3971-5114,,1,1,1,,,豊島区,13116,高田,3-8-9,,1,,1,1,,1,,,15:00~17:00,,15:00~17:00,,15:00~17:00,,15:00~17:00,,15:00~17:00,,15:00~17:00,,15:00~17:00,,,高田3-8-9
安田耳鼻咽喉科要町1－21－6,安田耳鼻咽喉科,東京都豊島区要町1－21－6,171-0043,03-3957-3387,,,1,,,,豊島区,13116,要町,1－21－6,,,,,,,,,9:00~12:00,15:00~19:00,9:00~12:00,15:00~19:00,9:00~12:00,15:00~19:00,,,9:00~12:00,15:00~19:00,9:00~12:00,,,,,,要町1－21－6
大塚メディカルクリニック北大塚2-27-3,大塚メディカルクリニック,東京都豊島区北大塚2-27-3,170-0004,03-5961-5850,,,1,,,,豊島区,13116,北大塚,2-27-3,,,,,,,,,10:00~13:00,16:00~20:00,10:00~13:00,16:00~20:00,,16:00~20:00,10:00~13:00,16:00~20:00,10:00~13:00,16:00~20:00,,,,,,,北大塚2-27-3
鬼子母神診療所雑司ヶ谷３－３－１７,鬼子母神診療所,東京都豊島区雑司ヶ谷３－３－１７,171-0032,03-3984-6821,,,1,,,,豊島区,13116,雑司ヶ谷,３－３－１７,,1,,,,1,1,,12:00~13:00,,,,12:00~13:00,14:00~16:00,,,12:00~13:00,,,,,,,,雑司ヶ谷３－３－１７
医療法人社団翔和仁誠会 すがも駅前耳鼻咽喉科クリニック巣鴨1-14-5 第一松岡ビル4F,医療法人社団翔和仁誠会 すがも駅前耳鼻咽喉科クリニック,東京都豊島区巣鴨1-14-5 ,170-0002,03-3947-1050,,,1,,,,豊島区,13116,巣鴨,1-14-5 ,第一松岡ビル4F,,,,,,,,9:00~13:00,15:00~18:00,9:00~13:00,15:00~18:00,9:00~13:00,15:00~18:00,,,9:00~13:00,15:00~18:00,9:00~12:00,,,,,,巣鴨1-14-5 第一松岡ビル4F
中村耳鼻咽喉科医院長崎2-16-18 中村耳鼻咽喉科医院,中村耳鼻咽喉科医院,東京都豊島区長崎2-16-18 ,171-0051,03-3957-1887,,,1,,,,豊島区,13116,長崎,2-16-18 ,中村耳鼻咽喉科医院,,,,,,,,,17:00~19:00,,17:00~19:00,,17:00~19:00,,,,17:00~19:00,,,,,,,長崎2-16-18 中村耳鼻咽喉科医院
医療法人社団生栄会 赤羽台診療所赤羽台１－５－２２,医療法人社団生栄会 赤羽台診療所,東京都北区赤羽台１－５－２２,115-0053,03-3900-3741,,,1,,,,北区,13117,赤羽台,１－５－２２,,,,,,,,,8:00~12:00,14:00~19:00,8:00~12:00,14:00~19:00,8:00~12:00,14:00~19:00,8:00~12:00,14:00~19:00,8:00~12:00,14:00~19:00,8:00~12:00,,,,,,赤羽台１－５－２２
医療法人社団 桜の園 十条クリニック中十条 2ー12ー2 写光ハイム 101,医療法人社団 桜の園 十条クリニック,東京都北区中十条 ,111-0036,03-3908-1252,,1,1,,,,北区,13117,中十条 ,,2ー12ー2 写光ハイム 101,,,,,,,,9:00~12:00,14:00~18:00,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,,,9:00~12:00,15:00~18:00,9:00~12:00,,,,,,中十条 2ー12ー2 写光ハイム 101
田端中央診療所田端新町2-23-3-1F,田端中央診療所,東京都北区田端新町2-23-3-1F,114-0012,03-3893-6981,,,1,,,,北区,13117,田端新町,2-23-3-1F,,,,,,,,,,15:00~17:00,,15:00~17:00,,15:00~17:00,,,,15:00~17:00,,,,,,,田端新町2-23-3-1F
山本医院町屋4-8-4,山本医院,東京都荒川区町屋4-8-4,116-0001,03-3895-5365,,1,1,1,,,荒川区,13118,町屋,4-8-4,,1,,,,,1,,9:00~13:00,16:00~19:00,9:00~13:00,16:00~19:00,9:00~13:00,16:00~19:00,9:00~13:00,16:00~19:00,9:00~13:00,16:00~19:00,9:00~13:00,,,,日本語のみ,,町屋4-8-4
医療法人社団 M.S.ハーベスト西日暮里1-26-9,医療法人社団 M.S.ハーベスト,東京都荒川区西日暮里1-26-9,116-0013,03-5850-5071,,,1,,,,荒川区,13118,西日暮里,1-26-9,,,,,,,,,13:00~15:00,18:00~20:00,13:00~15:00,18:00~20:00,13:00~15:00,18:00~20:00,,,13:00~15:00,18:00~20:00,14:00~16:00,,,,,,西日暮里1-26-9
医療法人社団瑛会 東京ネクスト内科・透析クリニック西日暮里2-22-1ステーションプラザタワー２階,医療法人社団瑛会 東京ネクスト内科・透析クリニック,東京都荒川区西日暮里2-22-1ステーションプラザタワー２階,116-0013,03-5615-1566,,,1,,,,荒川区,13118,西日暮里,2-22-1ステーションプラザタワー２階,,1,,1,,,1,,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,,,,,西日暮里2-22-1ステーションプラザタワー２階
医療法人社団松田会 荒川外科肛門医院荒川4-2-7,医療法人社団松田会 荒川外科肛門医院,東京都荒川区荒川4-2-7,116-0002,03-3806-8213,,,1,,,,荒川区,13118,荒川,4-2-7,,,,,,,,,,15:00~16:00,,15:00~16:00,,15:00~16:00,,,,15:00~16:00,,,,,,,荒川4-2-7
一般財団法人精神医学研究所 附属 東京武蔵野病院小茂根4-11-11,一般財団法人精神医学研究所 附属 東京武蔵野病院,東京都板橋区小茂根4-11-11,173-0037,03-5986-3111,,,1,,,,板橋区,13119,小茂根,4-11-11,,1,,,1,1,1,,,14:00~16:00,,14:00~16:00,,14:00~16:00,,14:00~16:00,,,,,,,,,小茂根4-11-11
徳山内科外科坂下3-12-10,徳山内科外科,東京都板橋区坂下3-12-10,174-0043,03-3966-8737,,,1,,,,板橋区,13119,坂下,3-12-10,,,,,,,,,12:00~13:00,17:00~18:00,,,12:00~13:00,17:00~18:00,12:00~13:00,17:00~18:00,,,12:00~13:00,17:00~18:00,,,,,坂下3-12-10
石澤内科クリニック志村2-10-9,石澤内科クリニック,東京都板橋区志村2-10-9,174-0056,03-3966-1438,,,1,,,,板橋区,13119,志村,2-10-9,,,,,,,,,9:00~12:00,15:00~18:00,9:00~12:00,,9:00~12:00,15:00~18:00,9:00~12:00,,9:00~12:00,15:00~18:00,12:00~13:00,,,,無し,,志村2-10-9
医療法人財団健康文化会小豆沢病院附属本蓮沼診療所小豆沢１－７－７,医療法人財団健康文化会小豆沢病院附属本蓮沼診療所,東京都板橋区小豆沢１－７－７,174-0051,03-3960-4837,,,1,,,,板橋区,13119,小豆沢,１－７－７,,1,,,,,1,,,12:00~13:00,,12:00~13:00,,12:00~13:00,,12:00~13:00,,12:00~13:00,,12:00~13:00,,,,,小豆沢１－７－７
吉野内科クリニック小茂根4‐8‐22,吉野内科クリニック,東京都板橋区小茂根4‐8‐22,173-0037,03-3530-3885,,,1,,,,板橋区,13119,小茂根,4‐8‐22,,,,,,,,,,,,,,13:00~14:00,,,,,,,,,,,小茂根4‐8‐22
医療法人社団雄丈会 つづきクリニック前野町4-13-13,医療法人社団雄丈会 つづきクリニック,東京都板橋区前野町4-13-13,174-0063,03-3960-0407,,1,1,,,,板橋区,13119,前野町,4-13-13,,,,,,,,,9:00~13:00,16:00~18:00,9:00~13:00,16:00~18:00,9:00~13:00,16:00~18:00,,,9:00~13:00,16:00~18:00,9:00~12:00,,,,,,前野町4-13-13
医療法人社団健志会飯島医院光が丘7-3-6-102,医療法人社団健志会飯島医院,東京都練馬区光が丘7-3-6-102,179-0072,03-3976-6087,,,1,,,,練馬区,13120,光が丘,7-3-6-102,,,,,,,,,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,,,9:00~12:00,15:00~18:00,9:00~12:00,,,,,,光が丘7-3-6-102
医療法人社団康和会 田中医院谷原６－９－８,医療法人社団康和会 田中医院,東京都練馬区谷原６－９－８,177-0032,03-3996-5700,,,1,,,,練馬区,13120,谷原,６－９－８,,1,,1,,1,1,,12:00~13:00,18:00~19:00,12:00~13:00,,12:00~13:00,18:00~19:00,12:00~13:00,,12:00~13:00,,12:00~13:00,,,,,,谷原６－９－８
白戸医院関町北4-14-19,白戸医院,東京都練馬区関町北4-14-19,177-0051,03-5991-1300,,,1,,,,練馬区,13120,関町北,4-14-19,,,,,,,,,11:00~12:00,17:00~18:00,11:00~12:00,,11:00~12:00,17:00~18:00,,,11:00~12:00,,11:00~12:00,,,,,,関町北4-14-19
旭町診療所旭町1-29-13,旭町診療所,東京都練馬区旭町1-29-13,179-0071,03-3938-3011,,,1,,,,練馬区,13120,旭町,1-29-13,,,,,,,,,11:00~12:00,17:00~18:00,11:00~12:00,17:00~18:00,11:00~12:00,17:00~18:00,,,11:00~12:00,17:00~18:00,11:00~12:00,,,,,,旭町1-29-13
しろた内科・胃腸科クリニック北町2丁目-22番地-11号  グランサンテ2F,しろた内科・胃腸科クリニック,東京都練馬区北町2丁目-22番地-11号 ,179-0081,03-5398-0200,,,1,,,,練馬区,13120,北町,2丁目-22番地-11号 , グランサンテ2F,,,,,,,,12:00~13:00,18:00~19:00,12:00~13:00,18:00~19:00,,,12:00~13:00,18:00~19:00,12:00~13:00,18:00~19:00,12:00~14:00,,,,,,北町2丁目-22番地-11号  グランサンテ2F
医療法人社団ヅーフハルマ中村医院谷原２丁目１１番５号,医療法人社団ヅーフハルマ中村医院,東京都練馬区谷原２丁目１１番５号,177-0032,03-3997-0250,,1,1,1,,,練馬区,13120,谷原,２丁目１１番５号,,1,,1,,,1,,11:00~13:00,17:00~19:00,11:00~13:00,17:00~19:00,11:00~13:00,17:00~19:00,,,11:00~13:00,16:00~18:00,11:00~13:00,,,,,,谷原２丁目１１番５号
新桜台中村ファミリークリニック羽沢2-2-14,新桜台中村ファミリークリニック,東京都練馬区羽沢2-2-14,176-0003,03-3991-7131,,,1,,,,練馬区,13120,羽沢,2-2-14,,1,,,,,1,,12:00~13:00,18:00~19:00,,,12:00~13:00,18:00~19:00,,18:00~19:00,12:00~13:00,18:00~19:00,,13:00~14:00,,13:00~14:00,,,羽沢2-2-14
医療法人社団優夏会川村内科クリニック南大泉5-20-27,医療法人社団優夏会川村内科クリニック,東京都練馬区南大泉5-20-27,178-0064,03-5947-5033,,,1,,,,練馬区,13120,南大泉,5-20-27,,,,,,,,,,14:00~16:00,,14:00~16:00,,,,14:00~16:00,,14:00~16:00,,,,,無し,,南大泉5-20-27
医療法人社団正弘会江渕クリニック東大泉3-18-16-1階,医療法人社団正弘会江渕クリニック,東京都練馬区東大泉3-18-16-1階,178-0063,03-5947-4976,,,1,,,,練馬区,13120,東大泉,3-18-16-1階,,,,,,,,,,13:00~14:00,,13:00~14:00,,13:00~14:00,,,,13:00~14:00,,,,,,,東大泉3-18-16-1階
医療法人社団 優腎会 優人大泉学園クリニック東大泉１－２８－７ フォンターナ琴坂２・３階,医療法人社団 優腎会 優人大泉学園クリニック,東京都練馬区東大泉１－２８－７ ,178-0063,03-3867-5510,,,1,,,,練馬区,13120,東大泉,１－２８－７ ,フォンターナ琴坂２・３階,1,,,,,1,,9:00~12:00,13:00~16:00,9:00~12:00,13:00~16:00,9:00~12:00,13:00~16:00,9:00~12:00,13:00~16:00,9:00~12:00,13:00~16:00,9:00~12:00,13:00~16:00,,,,,東大泉１－２８－７ フォンターナ琴坂２・３階
田中脳神経外科病院関町南3-9-23,田中脳神経外科病院,東京都練馬区関町南3-9-23,177-0053,03-3920-6263,,1,1,,,,練馬区,13120,関町南,3-9-23,,1,,1,1,1,1,,,,,,,,,,,,,13:00~14:00,,,,,関町南3-9-23
寺木クリニック竹ノ塚4-13-13,寺木クリニック,東京都足立区竹ノ塚4-13-13,121-0813,03-3850-9111,,,1,,,,足立区,13121,竹ノ塚,4-13-13,,,,,,,,,9:00~12:00,13:00~16:00,9:00~12:00,,9:00~12:00,13:00~16:00,9:00~12:00,,9:00~12:00,13:00~16:00,9:00~12:00,,,,日本語,,竹ノ塚4-13-13
伊藤クリニック梅田8-1-1梅島地所ビル3階,伊藤クリニック,東京都足立区梅田8-1-1梅島地所ビル3階,123-0851,03-3840-3388,,,1,,,,足立区,13121,梅田,8-1-1梅島地所ビル3階,,,,,,,,,12:00~13:00,18:00~19:00,12:00~13:00,18:00~19:00,12:00~13:00,18:00~19:00,,,12:00~13:00,18:00~19:00,12:00~13:00,,,,,,梅田8-1-1梅島地所ビル3階
中田医院鹿浜4-22-16,中田医院,東京都足立区鹿浜4-22-16,123-0864,03-3899-1676,,,1,,,,足立区,13121,鹿浜,4-22-16,,,,,,,,,,12:00~13:00,,12:00~13:00,,12:00~13:00,,12:00~13:00,,12:00~13:00,,12:00~13:00,,,,,鹿浜4-22-16
北綾瀬駅前せたクリニック谷中2-5-10クィーンハイツ浅伊2F,北綾瀬駅前せたクリニック,東京都足立区谷中2-5-10クィーンハイツ浅伊2F,120-0006,03-3628-8181,,,1,,,,足立区,13121,谷中,2-5-10クィーンハイツ浅伊2F,,,,,,,,,9:00~11:00,15:00~17:00,9:00~11:00,15:00~17:00,9:00~11:00,15:00~17:00,,,9:00~11:00,15:00~17:00,9:00~11:00,15:00~17:00,,,,,谷中2-5-10クィーンハイツ浅伊2F
医療法人社団哲仁会井口病院千住２丁目１９番地,医療法人社団哲仁会井口病院,東京都足立区千住２丁目１９番地,120-0034,03-3881-2221,,1,1,1,,,足立区,13121,千住,２丁目１９番地,,1,,,,1,1,,9:00~12:00,14:00~17:00,9:00~12:00,14:00~17:00,9:00~12:00,14:00~17:00,9:00~12:00,14:00~17:00,9:00~12:00,14:00~17:00,9:00~12:00,14:00~17:00,,,英語,,千住２丁目１９番地
医療法人社団 日岩会 下井病院綾瀬３－２８－８,医療法人社団 日岩会 下井病院,東京都足立区綾瀬３－２８－８,120-0005,03-3620-8811,,1,1,1,,,足立区,13121,綾瀬,３－２８－８,,1,,1,1,,,,9:00~12:00,13:00~17:00,9:00~12:00,,9:00~12:00,13:00~17:00,9:00~12:00,,9:00~12:00,13:00~17:00,9:00~12:00,,,,,,綾瀬３－２８－８
医療法人杏仁会（財団）松岡胃腸クリニック亀有３－３２－１６ サンハイムフェニックス１階,医療法人杏仁会（財団）松岡胃腸クリニック,東京都葛飾区亀有３－３２－１６ ,125-0061,03-3603-4111,,,1,,,,葛飾区,13122,亀有,３－３２－１６ ,サンハイムフェニックス１階,,,,,,,,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,,,9:00~12:00,15:00~18:00,11:00~12:00,,9:00~12:00,,,,,,亀有３－３２－１６ サンハイムフェニックス１階
巷岡クリニック（ツジオカクリニック）亀有3－13－3,巷岡クリニック（ツジオカクリニック）,東京都葛飾区亀有3－13－3,125-0061,03-3602-2751,,,1,,,,葛飾区,13122,亀有,3－13－3,,,,,,,,,,,9:00~13:00,16:00~19:00,9:00~13:00,16:00~19:00,,,9:00~13:00,16:00~19:00,9:00~13:00,,,,,,亀有3－13－3
医療法人社団泰松会 亀有おおの診療所亀有2ー33ー8ボナール17ビル1F,医療法人社団泰松会 亀有おおの診療所,東京都葛飾区亀有2ー33ー8ボナール17ビル1F,125-0061,03-6662-2655,,1,1,,,,葛飾区,13122,亀有,2ー33ー8ボナール17ビル1F,,,,,,,,,11:00~12:00,15:00~17:00,11:00~12:00,15:00~15:00,9:00~9:00,15:00~15:00,11:00~12:00,15:00~17:00,11:00~12:00,15:00~17:00,11:00~12:00,15:00~17:00,12:00~14:00,15:00~15:00,,,亀有2ー33ー8ボナール17ビル1F
かまた医院金町3-32-11,かまた医院,東京都葛飾区金町3-32-11,125-0042,03-3607-3641,,,1,,,,葛飾区,13122,金町,3-32-11,,,,,,,,,9:00~11:00,15:00~17:00,9:00~11:00,15:00~17:00,9:00~11:00,15:00~17:00,,,9:00~11:00,15:00~17:00,9:00~11:00,,,,,,金町3-32-11
医療法人社団 近良会 新小岩内科診療所新小岩1-51-2 ｸﾚｲﾝ田中1F,医療法人社団 近良会 新小岩内科診療所,東京都葛飾区新小岩1-51-2 ,124-0024,03-5607-2489,,,1,,,,葛飾区,13122,新小岩,1-51-2 ,ｸﾚｲﾝ田中1F,,,,,,,,11:00~12:00,17:00~18:00,11:00~12:00,17:00~18:00,,,11:00~12:00,17:00~18:00,11:00~12:00,17:00~18:00,11:00~14:00,,,,,,新小岩1-51-2 ｸﾚｲﾝ田中1F
梶原医院宝町2-25-10 1階,梶原医院,東京都葛飾区宝町2-25-10 ,124-0005,03-3691-1025,,,1,,,,葛飾区,13122,宝町,2-25-10 ,1階,,,,,,,,11:00~12:00,,11:00~12:00,,11:00~12:00,,,,11:00~12:00,,11:00~12:00,,,,日本語のみ,,宝町2-25-10 1階
医療法人社団 二木耳鼻咽喉科医院東葛西 5-13-9,医療法人社団 二木耳鼻咽喉科医院,東京都江戸川区東葛西 ,134-0084,03-3877-4133,,,1,1,,,江戸川区,13123,東葛西 ,,5-13-9,,,,,,,,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,,,9:00~12:00,15:00~18:00,9:00~12:00,,,,,,東葛西 5-13-9
小川クリニック瑞江1-3-13,小川クリニック,東京都江戸川区瑞江1-3-13,132-0011,03-3679-3020,,,1,,,,江戸川区,13123,瑞江,1-3-13,,1,,1,1,1,1,,,13:00~16:00,,13:00~16:00,,13:00~16:00,,13:00~16:00,,13:00~16:00,,,,,,,瑞江1-3-13
宮本医院西一之江4-1-4,宮本医院,東京都江戸川区西一之江4-1-4,132-0023,03-3651-6288,,,1,,,,江戸川区,13123,西一之江,4-1-4,,,,,,,,,12:00~13:00,,12:00~13:00,,12:00~13:00,,,,12:00~13:00,,12:00~13:00,,,,,,西一之江4-1-4
医療法人社団美友梨会 福田クリニック南篠崎町2-38-13,医療法人社団美友梨会 福田クリニック,東京都江戸川区南篠崎町2-38-13,133-0065,03-3679-2011,,,1,,,,江戸川区,13123,南篠崎町,2-38-13,,,,,,,,,,17:00~19:00,,17:00~19:00,,17:00~19:00,11:00~12:00,,,17:00~19:00,11:00~12:00,,,,,,南篠崎町2-38-13
新小岩クリニック船堀船堀4-4-24,新小岩クリニック船堀,東京都江戸川区船堀4-4-24,134-0091,03-3688-9901,,,1,,,,江戸川区,13123,船堀,4-4-24,,1,,1,1,1,1,,9:00~13:00,13:00~22:00,9:00~13:00,13:00~18:00,9:00~13:00,13:00~22:00,9:00~13:00,13:00~18:00,9:00~13:00,13:00~22:00,9:00~13:00,13:00~18:00,,,,,船堀4-4-24
東京東病院鹿骨3-20-3,東京東病院,東京都江戸川区鹿骨3-20-3,133-0073,03-5636-3030,,1,1,1,,,江戸川区,13123,鹿骨,3-20-3,,1,,1,1,1,1,,9:00~12:00,14:00~17:00,9:00~12:00,14:00~17:00,9:00~12:00,14:00~17:00,9:00~12:00,14:00~17:00,9:00~12:00,14:00~17:00,,,,,,,鹿骨3-20-3
檜原村国民健康保険檜原診療所2717,檜原村国民健康保険檜原診療所,東京都西多摩郡檜原村2717,190-0211,042-598-0115,,1,1,1,,,西多摩郡檜原村,13221,,2717,,1,,,,1,1,,9:00~12:00,13:00~16:00,9:00~12:00,13:00~16:00,9:00~12:00,,9:00~12:00,13:00~16:00,9:00~12:00,13:00~16:00,,,,,,,2717
